Location,Year,pH,Nitrogen
Lake3,2020,7.265470841173363,
Lake3,2022,7.035864256276785,
Lake1,2020,7.464235138718766,
Lake3,2022,,3.9140398689886475
Lake4,2021,7.392931335658608,
Lake2,2021,,2.514250465683167
Lake4,2022,7.024665729771838,3.8340752743839506
Lake5,2021,7.137943941265687,3.3094208769975517
Lake4,2022,7.3368473277491875,2.7404646525840706
Lake4,2022,6.517518967782788,2.8678830219098215
Lake4,2020,6.927869420912837,3.2988686560030676
Lake2,2022,6.7298596473262835,3.4380912544191102
Lake1,2022,7.211337207733831,2.937381337237026
Lake3,2022,7.388177502779241,
Lake3,2020,6.85779083810278,2.737204085954805
Lake4,2021,7.4619537099822,3.6762739129204283
Lake2,2022,,3.6194535405912234
Lake3,2021,,3.0641915577493477
Lake1,2022,7.335059471435667,3.739657723030414
Lake1,2020,7.115330865936645,2.937668847703892
Lake4,2021,6.965043713135887,3.6405938243553164
Lake3,2021,6.837239863614855,2.7024120524417623
Lake4,2020,,3.8510233542169177
Lake4,2022,6.951127598376555,3.49509019236679
Lake5,2022,7.194639427669261,
Lake1,2022,6.765772957075604,2.5433854074234548
Lake4,2021,6.902185135067422,3.8863119305752143
Lake2,2021,6.574971292017282,2.755631589163666
Lake3,2020,7.126292816040011,3.169290588863495
Lake2,2022,,2.586861304197976
Lake3,2022,7.408673825448153,2.9586643977802085
Lake1,2020,7.006641818125673,3.763397552079059
Lake1,2021,6.753939437154834,2.66862661257502
Lake4,2021,7.0036569867332,
Lake1,2022,,3.2772195499242596
Lake2,2022,,2.6793013093477573
Lake3,2020,7.4999384227333685,3.4471095169907593
Lake3,2022,7.229404454192084,2.843537564962697
Lake3,2021,,3.678716914809931
Lake2,2021,7.314076249614847,
Lake1,2021,,3.875037223314939
Lake3,2021,6.765055511990973,3.480762205576447
Lake5,2020,6.602111731003568,
Lake2,2021,6.93639418652931,3.5577789969030325
Lake1,2021,7.436273350675628,2.69553326348329
Lake4,2020,6.5685792180209175,3.157997926092624
Lake5,2021,7.311775011601775,2.8710768296507583
Lake2,2021,7.087865585142589,3.4028476759277706
Lake5,2022,7.0998574600129,
Lake5,2021,6.6888223222600764,2.8661269065221755
